True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year,Mar Up,Mar Down,Pred Up,Pred Down,Results
7570.8,7561.8155,8.9845,7570.8,7587.2,76.55,1,2,1,0,1,0,1,1
10886.05,10914.07475,-28.02475,10886.05,10930.9,-83.7,0,40,10,0,1,0,1,1
9903.95,9884.18525,19.76475,9903.95,9899.25,-15.9,2,36,9,1,0,0,1,0
18091.1,18111.684,-20.584,18091.1,18127.05,162.7,1,46,11,0,1,0,1,1
18087.45,18084.98925,2.46075,18087.45,18115.6,88.3,4,3,1,0,1,0,1,1
8586.6,8591.57525,-4.97525,8586.6,8615.4,172.4,0,17,4,0,1,0,1,1
10249.55,10241.68325,7.86675,10249.55,10274.6,154.7,2,14,4,0,1,0,1,1
8751.75,8768.581,-16.831,8751.75,8769.75,44.15,1,11,3,0,1,0,1,1
8591.45,8575.925,15.525,8591.45,8591.55,40.6,0,13,3,0,1,0,1,1
22331.05,22333.99225,-2.94225,22331.05,22334.45,0.75,1,11,3,0,1,0,1,1
7448.3,7450.93975,-2.63975,7448.3,7459.75,-42.45,2,11,3,0,1,0,1,1
15827.1,15868.73175,-41.63175,15827.1,15867.95,-13.1,0,10,3,0,1,1,0,0
7851.9,7823.6215,28.2785,7851.9,7830.45,-32.05,2,52,12,1,0,0,1,0
11913.3,11873.4755,39.8245,11913.3,11879.2,-33.55,0,46,11,1,0,0,1,0
8238.9,8213.449,25.451,8238.9,8232.35,4.5,1,44,10,1,0,0,1,0
20933.8,20916.91975,16.88025,20933.8,20950.75,14.85,2,49,12,0,1,0,1,1
10905.1,10889.88675,15.21325,10905.1,10910.4,-125.4,4,39,9,0,1,0,1,1
11244.2,11170.45525,73.74475,11244.2,11213.7,133.1,1,31,7,1,0,0,1,0
14651.5,14610.568,40.932,14651.5,14668.35,-64.85,3,18,5,0,1,0,1,1
24383.8,24410.05175,-26.25175,24383.8,24371.45,21.15,2,44,10,1,0,1,0,1
11712.9,11754.17625,-41.27625,11712.9,11748.75,9.65,1,18,4,0,1,1,0,0
14489.65,14452.23375,37.41625,14489.65,14473.8,-100.95,1,2,1,1,0,0,1,0
8942.75,8942.35775,0.39225,8942.75,8943.7,47.25,0,9,2,0,1,0,1,1
11592,11644.80625,-52.80625,11592,11646.15,71.75,4,43,10,0,1,0,1,1
17990,17986.641,3.359,17990,18008.05,142.2,4,1,1,0,1,0,1,1
8381.75,8391.22575,-9.47575,8381.75,8399.4,59.55,2,26,6,0,1,0,1,1
11734.75,11742.41675,-7.66675,11734.75,11731.95,-11.8,1,35,8,1,0,1,0,1
10110.05,10098.72775,11.32225,10110.05,10107.4,20.4,3,37,9,1,0,0,1,0
8150.3,8156.41575,-6.11575,8150.3,8177,58.3,3,44,10,0,1,0,1,1
11677.55,11681.155,-3.605,11677.55,11694.75,15.2,3,35,8,0,1,0,1,1
7022.2,7048.44875,-26.24875,7022.2,7039.3,3.35,4,8,2,0,1,1,0,0
11020.65,11020.24625,0.40375,11020.65,11023.5,90.9,4,6,2,0,1,0,1,1
11123.65,11122.13375,1.51625,11123.65,11109,-24.15,1,30,7,1,0,1,0,1
16957.95,17026.5115,-68.5615,16957.95,17066.6,63.15,0,12,3,0,1,0,1,1
8943.85,8917.76725,26.08275,8943.85,8929.4,-8.35,3,10,3,1,0,0,1,0
22718.25,22619.976,98.274,22718.25,22677.4,158,4,15,4,1,0,0,1,0
23609.7,23580.65475,29.04525,23609.7,23661.15,208,4,25,6,0,1,0,1,1
9911.65,9904.9115,6.7385,9911.65,9908.15,-5.5,0,29,7,1,0,0,1,0
7958.15,7980.94375,-22.79375,7958.15,7976.65,52.4,2,49,12,0,1,1,0,0
10583.5,10547.47825,36.02175,10583.5,10552,31.6,1,45,11,1,0,0,1,0
18101.85,18148.4975,-46.6475,18101.85,18131.7,-75.4,0,1,1,0,1,1,0,0
19326.25,19282.01625,44.23375,19326.25,19301.75,20.25,4,33,8,1,0,0,1,0
17946,17910.19025,35.80975,17946,17922.8,-134,1,3,1,1,0,0,1,0
9615.85,9638.88125,-23.03125,9615.85,9643.25,67.1,4,25,6,0,1,0,1,1
17431.3,17507.1985,-75.8985,17431.3,17524.4,21.75,3,49,12,0,1,0,1,1
8511.55,8487.52325,24.02675,8511.55,8499.45,-98.05,2,4,1,1,0,0,1,0
22275.9,22223.1015,52.7985,22275.9,22255.6,45.2,2,20,5,1,0,0,1,0
18362.45,18361.901,0.549,18362.45,18368.35,-123.55,4,21,5,0,1,0,1,1
11011.85,10950.17075,61.67925,11011.85,10994.85,1.75,0,38,9,1,0,0,1,0
10324.4,10307.763,16.637,10324.4,10324.55,49.8,4,46,11,0,1,0,1,1
8827.75,8848.179,-20.429,8827.75,8844.75,109.25,2,16,4,0,1,1,0,0
17826.8,17875.2615,-48.4615,17826.8,17906.45,173,1,39,9,0,1,0,1,1
17189.45,17117.9735,71.4765,17189.45,17166.45,192.6,2,11,3,1,0,0,1,0
24622.5,24577.956,44.544,24622.5,24615.9,14.8,1,29,7,1,0,0,1,0
7798.75,7842.0345,-43.2845,7798.75,7857.8,130.15,2,36,9,0,1,0,1,1
9306,9315.871,-9.871,9306,9311.45,0.7,0,19,5,0,1,1,0,0
17963.1,17927.77575,35.32425,17963.1,17966.55,239.6,4,33,8,0,1,0,1,1
10965.7,10964.271,1.429,10965.7,10982.7,132.25,2,40,10,0,1,0,1,1
19326.2,19283.41175,42.78825,19326.2,19297.4,53.1,4,34,8,1,0,0,1,0
15684.9,15752.89175,-67.99175,15684.9,15761.55,46.9,2,30,7,0,1,0,1,1
10909.05,10885.66075,23.38925,10909.05,10920.85,30.75,3,3,1,0,1,0,1,1
24677.5,24585.6725,91.8275,24677.5,24680.55,-101.35,2,34,8,0,1,0,1,1
10159.65,10116.9485,42.7015,10159.65,10119,-135.05,4,25,6,1,0,0,1,0
11266.05,11180.5755,85.4745,11266.05,11218.6,-67.15,2,37,9,1,0,0,1,0
17227.3,17147.751,79.549,17227.3,17183.45,-2.35,0,16,4,1,0,0,1,0
10315,10276.79975,38.20025,10315,10301.6,-121.95,0,11,3,1,0,0,1,0
7639.5,7618.072,21.428,7639.5,7619.2,-84.35,0,12,3,1,0,0,1,0
12278.3,12268.806,9.494,12278.3,12269.25,57.25,1,52,12,1,0,0,1,0
17973.6,17956.367,17.233,17973.6,17970.9,81.75,1,44,11,1,0,0,1,0
15807.9,15760.5925,47.3075,15807.9,15796.45,-8.65,4,23,6,1,0,0,1,0
12185.75,12203.77225,-18.02225,12185.75,12197,-30.45,2,51,12,0,1,1,0,0
11854.45,11870.34,-15.89,11854.45,11839.9,-24.65,0,27,7,1,0,1,0,1
10725.6,10737.3715,-11.7715,10725.6,10731.25,-39.1,0,47,11,0,1,1,0,0
11382.15,11371.0985,11.0515,11382.15,11382.5,35.7,3,11,3,0,1,0,1,1
11477.8,11477.24475,0.55525,11477.8,11493.25,22.15,3,32,8,0,1,0,1,1
8588,8577.883,10.117,8588,8594,7.55,4,41,10,0,1,0,1,1
16539.5,16552.42575,-12.92575,16539.5,16561.4,-54.35,1,34,8,0,1,0,1,1
8199.05,8198.1665,0.8835,8199.05,8202.25,-67.2,3,25,6,0,1,0,1,1
11100.85,11105.7615,-4.9115,11100.85,11106.55,-9,1,35,8,0,1,0,1,1
17660.55,17565.475,95.075,17660.55,17609.65,-26.3,3,38,9,1,0,0,1,0
7902.6,7898.752,3.848,7902.6,7894.8,29.95,0,17,4,1,0,1,0,1
10291.75,10268.42675,23.32325,10291.75,10287.2,-9.85,0,47,11,1,0,0,1,0
18150.8,18166.941,-16.141,18150.8,18170.4,-27.2,2,2,1,0,1,0,1,1
17959.05,17914.847,44.203,17959.05,17915.8,-89.55,1,41,10,1,0,0,1,0
10501.65,10503.61525,-1.96525,10501.65,10512.3,-13.3,1,52,12,0,1,0,1,1
9810,9841.25225,-31.25225,9810,9825.85,-74.8,2,33,8,0,1,1,0,0
8652.05,8655.68225,-3.63225,8652.05,8643.95,57.15,3,30,7,1,0,1,0,1
10183.05,10142.26075,40.78925,10183.05,10167.5,60.85,3,12,3,1,0,0,1,0
10999,11003.81125,-4.81125,10999,11018.95,78.25,0,29,7,0,1,0,1,1
8557.95,8570.1855,-12.2355,8557.95,8568.9,51.9,2,13,3,0,1,1,0,0
7569.4,7554.619,14.781,7569.4,7557.4,67.8,3,11,3,1,0,0,1,0
16313.8,16277.7245,36.0755,16313.8,16248.9,41.15,1,19,5,1,0,1,0,1
11406.3,11404.21325,2.08675,11406.3,11409.65,31.25,4,34,8,0,1,0,1,1
16157.9,16230.78275,-72.88275,16157.9,16227.7,-80.7,0,19,5,0,1,1,0,0
10385.25,10395.4305,-10.1805,10385.25,10387.9,24.1,1,48,11,0,1,1,0,0
18571.3,18536.13575,35.16425,18571.3,18570.85,-43.55,3,49,12,1,0,0,1,0
18169.6,18099.1895,70.4105,18169.6,18117.3,47.35,4,18,5,1,0,0,1,0
11661.9,11683.0215,-21.1215,11661.9,11675.6,74.75,3,29,7,0,1,1,0,0
17783.1,17737.99325,45.10675,17783.1,17796.8,246.7,4,37,9,0,1,0,1,1
21715.5,21739.35225,-23.85225,21715.5,21780.65,90.35,3,5,2,0,1,0,1,1
18623.2,18534.1195,89.0805,18623.2,18552.45,-51.15,1,48,11,1,0,0,1,0
14185.85,14232.049,-46.199,14185.85,14237.95,273.7,2,4,1,0,1,0,1,1
10442.25,10403.95775,38.29225,10442.25,10431.75,-4.05,0,45,11,1,0,0,1,0
15502.5,15465.3905,37.1095,15502.5,15520.35,-69.65,2,22,6,0,1,0,1,1
22641.75,22577.07425,64.67575,22641.75,22617.45,60.35,3,22,5,1,0,0,1,0
7994.2,7990.47375,3.72625,7994.2,8006.5,-103.65,4,47,11,0,1,0,1,1
21664.55,21699.3025,-34.7525,21664.55,21653.6,101.65,1,2,1,1,0,1,0,1
11665.7,11688.32125,-22.62125,11665.7,11670.75,-15.5,2,29,7,0,1,1,0,0
22328.05,22368.47925,-40.42925,22328.05,22339.05,61.6,0,16,4,0,1,1,0,0
